   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   karabhī rucirā smṛtā VAnigh_228b	karaBiH rucirA smRtA VAniG_228b
   karabho dīrghagaś coṣṭraḥ VAnigh_345c	karaBaH dIrGagaH ca-uzwraH Va-aniG_345c
   karamardī kṣīraphalā VAnigh_270c	karamardI kzIraPalAH Va-aniG_270c
   karambhaḥ karkaśo yugma- VAnigh_112a	karamBaH karkaSaH yugma Va-aniG_112a
   karavīro 'śvamārastu VAnigh_317c	karavIraH aSvamAraH-tu Va-aniG_317c
   karāmlāḥ karamardakaḥ VAnigh_271b	kara-amlAH karamardakaH VAniG_271b
   karīraḥ kīcako mṛtyu- VAnigh_216a	karIraH kIcakaH mRtyu VAniG_216a
   karī śārdulavigrahā VAnigh_13d	karI SArdula-vigrahAH VAniG_13d
   kareṇur hastinī smṛtā VAnigh_344b	kareNuH hastinI smRtA VAniG_344b
   karkandhūḥ kāṣṭhakṛt kolī VAnigh_176c	karkanDUH kAzWa-kRt kolI Va-aniG_176c
   karkandhūḥ hrasvabadarī VAnigh_221c	karkanDUH hrasva-badarI VAniG_221c
   kardamaḥ paṅkajambālau VAnigh_378c	kardamaH paFkajambAlO Va-aniG_378c
   karparaṃ barhikaṇṭakam VAnigh_100b	karparam barhikaNwakam VAniG_100b
   karpūraṃ himanāmakam VAnigh_299b	karpUram hima-nAmakam VAniG_299b
   karmasākṣī jagaccakṣur VAnigh_385a	karma-sAkzI jagaccakzuH VAniG_385a
   karśanīyā sitā tathā VAnigh_336b	karSanIyA sitA taTA VAniG_336b
   kalabho vāraṇo dantī VAnigh_343c	kalaBaH vAraNaH dantI Va-aniG_343c
   kalambī vallyupodakaḥ VAnigh_261d	kalambI vallI-upodakaH VAniG_261d
   kalaśīkuṭajodbhavāḥ VAnigh_149d	kalaSI-kuwaja-udBavAH VAniG_149d
   kalāpī meghanādinī VAnigh_353b	kalApI meGanAdinI VAniG_353b
   kalikā jālakaś caiva VAnigh_403a	kalikA jAlakaH ca-eva Va-aniG_403a
   kaliṅgakas tv indrayavo VAnigh_71a	kaliFgakaH tu indrayavaH Va-aniG_71a
   kalyāṇalocano jñeyo VAnigh_210c	kalyANa-locanaH jQeyaH VAniG_210c
   kaśerukaḥ sugandhiś ca VAnigh_316c	kaSerukaH suganDiH ca Va-aniG_316c
   kaṣāyaṃ madhur āhvayam VAnigh_88d	kazAyam maDuH Ahvayam VAniG_88d
   kaṣāhvāvartakī smṛtā VAnigh_196b	kazAhvAvartakI smRtA VAniG_196b
   kastūrī darpasaṃjñakaḥ VAnigh_298b	kastUrI darpa-saMjQakaH VAniG_298b
   kākajaṅghā dhvāṅkṣajaṅghā VAnigh_283c	kAkajaFGA DvAFkzajaFGAH VAniG_283c
   kākajambvalpasasyakā VAnigh_172d	kAka-jambu-alpa-sasyakAH VAniG_172d
   kākamācī gucchaphalā VAnigh_32a	kAkamAcI gucCaPalAH VAniG_32a
   kākamācī gūḍhaphalā VAnigh_137a	kAkamAcI gUXa-PalAH VAniG_137a
   kākamudgā kṣudrarasā VAnigh_12a	kAkamudgA kzudra-rasAH VAniG_12a
   kākastu karaṭo 'riṣṭaḥ VAnigh_354a	kAkaH-tu karawaH arizwaH Va-aniG_354a
   kākākhyaṃ hrasvamutpalam VAnigh_315d	kAka-AKyam hrasvam-utpalam VAniG_315d
   kākādanī pītatailā VAnigh_126a	kAkAdanI pIta-tElA VAniG_126a
   kākāhis toyasarpakaḥ VAnigh_359d	kAkAhiH toya-sarpakaH VAniG_359d
   kākāhvā mācikāpi ca VAnigh_137b	kAkAhvA mAcikA-api ca VAniG_137b
   kākotpalaṃ tu kākotthaṃ VAnigh_315c	kAkotpalam tu kAkotTam Va-aniG_315c
   kākodumbarikā phalguḥ VAnigh_217c	kAkodumbarikA PalguH VAniG_217c
   kākolī kavarī vīrā VAnigh_15a	kAkolI kavarI vIrAH VAniG_15a
   kākolī cavikā cavyaṃ VAnigh_32c	kAkolI cavikA cavyam Va-aniG_32c
   kāṇḍekṣur vāyasekṣukaḥ VAnigh_237b	kANxekzuH vAyasekzukaH VAniG_237b
   kāṇḍo bāṇaḥ śaṇaḥ smṛtaḥ VAnigh_219b	kANxaH bANaH SaNaH smRtaH VAniG_219b
   kādambarī ghanā surā VAnigh_329a	kAdambarI GanA surAH VAniG_329a
   kāntaṃ bhrāmaracumbakam VAnigh_310d	kAntam BrAmara-cumbakam VAniG_310d
   kāntaḥ piṇḍaphalas tathā VAnigh_174b	kAntaH piNxaPalaH taTA VAniG_174b
   kāmukā raktamañjarī VAnigh_136b	kAmukA raktamaQjarI VAniG_136b
   kāyasthā tulasī tathā VAnigh_131d	kAyasTA tulasI taTA VAniG_131d
   kāyasthā rohiṇī smṛtā VAnigh_50d	kAyasTA rohiNI smRtAH VAniG_50d
   kālakarṇī bhūtavallī VAnigh_220c	kAlakarNI BUtavallI VAniG_220c
   kālakūṭo mahāmusto VAnigh_311c	kAlakUwaH mahA-mustaH VAniG_311c
   kālamuṣkaḥ kṣāravṛkṣaḥ VAnigh_141c	kAlamuzkaH kzAravRkzaH VAniG_141c
   kālavṛntā kuberākṣī VAnigh_275c	kAlavRntA kuberAkzI Va-aniG_275c
   kālaśeyamudāhṛtam VAnigh_325b	kAlaSeyam-udAhRtam VAniG_325b
   kālaskandho nīlasāro VAnigh_177c	kAlaskanDaH nIlasAraH Va-aniG_177c
   kālāntradārī kanthārī VAnigh_218a	kAla-antradArI kanTArI Va-aniG_218a
   kālikodgāraśodhanī VAnigh_34b	kAlikA-udgAra-SoDanI VAniG_34b
   kālindī kaṭabhī sitā VAnigh_127d	kAlindI kawaBI sitA VAniG_127d
   kālindī kālikā smṛtā VAnigh_192d	kAlindI kAlikA smRtAH VAniG_192d
   kālī haimavatīśvarī VAnigh_396d	kAlI hEmavatI-ISvarI VAniG_396d
   kāleyakaṃ pītasāraṃ VAnigh_85c	kAleyakam pItasAram Va-aniG_85c
   kāleyī dhūmrapattroṣṭrā VAnigh_8a	kAleyI DUmra-pattra-uzwrAH VAniG_8a
   kāleyo bahupannagaḥ VAnigh_362d	kAleyaH bahu-pannagaH VAniG_362d
   kāśmaryabhīruḥ śrīparṇī VAnigh_25c	kASmarya-BIruH SrIparNI VAniG_25c
   kāśmaryaṃ kaṭphalaṃ tathā VAnigh_25d	kASmaryam kawPalam taTA VAniG_25d
   kāśmīraṃ kuṅkumaṃ raktaṃ VAnigh_188c	kASmIram kuFkumam raktam Va-aniG_188c
   kāsaghnaṃ kāsamardakaḥ VAnigh_134d	kAsa-Gnam kAsamardakaH VAniG_134d
   kāsaghno vraṇaśodhanaḥ VAnigh_130d	kAsa-GnaH vraNa-SoDanaH VAniG_130d
   kāsīsadvayasaindhavam VAnigh_98b	kAsIsa-dvaya-sEnDavam VAniG_98b
   kāsīsaṃ pāṃśudhāvākhyaṃ VAnigh_101a	kAsIsam pAMSuDAva-AKyam Va-aniG_101a
   kāṃsyaṃ kāśaṃ ca ghoṣakam VAnigh_308b	kAMsyam kASam ca Gozakam VAniG_308b
   kiṅkirātaḥ karṇikāro VAnigh_211c	kiFkirAtaH karNikAraH Va-aniG_211c
   kiṇihī madhureṇukā VAnigh_127b	kiNihI maDureNukA VAniG_127b
   kirātatikto bhūnimbaḥ VAnigh_73a	kirAtatiktaH BUnimbaH VAniG_73a
   kirīṭaṃ śvetataṇḍulam VAnigh_133b	kirIwam Sveta-taNxulam VAniG_133b
   kīṭāriḥ sarpagandhikā VAnigh_226b	kIwAriH sarpaganDikA VAniG_226b
   kīreṣṭaḥ karparālaś ca VAnigh_250a	kIrezwaH karparAlaH ca Va-aniG_250a
   kukkuṭaś caraṇāyudhaḥ VAnigh_352b	kukkuwaH caraNAyuDaH VAniG_352b
   kucandanaṃ tāmravarṇaṃ VAnigh_28c	kucandanam tAmra-varNam VAniG_28c
   kuñcitāṅgo haripriyaḥ VAnigh_118b	kuQcita-aFgaH haripriyaH VAniG_118b
   kuñjaraḥ śatapattraś ca VAnigh_321a	kuQjaraH SatapattraH ca Va-aniG_321a
   kuñjarā harisārā ca VAnigh_163c	kuQjarA harisArA ca Va-aniG_163c
   kuṭajo girimallikā VAnigh_145b	kuwajaH girimallikA VAniG_145b
   kuṭannaṭaṃ plavaṃgaṃ ca VAnigh_120a	kuwannawam plavaMgam ca Va-aniG_120a
   kuṇapokaḥ susādanī VAnigh_225b	kuNapokaH susAdanI VAniG_225b
   kuṇḍalī gūḍapāc cakṣuḥ VAnigh_361a	kuNxalI gUxapAt cakzuH VAniG_361a
   kutālī tilapuṣpikā VAnigh_281d	kutAlI tilapuzpikA VAniG_281d
   kutsitāmbakadalīgataśokāḥ VAnigh_113c	kutsitAmba-kadalI-gata-SokAH VAniG_113c
   kuddālakaḥ kovidāras VAnigh_220a	kuddAlakaH kovidAraH Va-aniG_220a
   kundurur medakaḥ kundro VAnigh_190c	kunduruH medakaH kundraH Va-aniG_190c
   kubjapuṣpā kṛṣṇavallī VAnigh_286a	kubjapuzpA kRzNavallI VAniG_286a
   kumārī vyāghracaraṇā VAnigh_278a	kumArI vyAGra-caraNAH VAniG_278a
   kumāryākhyā mahāśvetā VAnigh_128a	kumArI-AKyA mahA-SvetAH VAniG_128a
   kumudaṃ kokanandanam VAnigh_315b	kumudam kokanandanam VAniG_315b
   kumbhayoniś ca sa smṛtaḥ VAnigh_250d	kumBayoniH ca sa smRtaH VAniG_250d
   kumbhastrī bhaṭṭinī sūtrā VAnigh_194c	kumBa-strI BawwinI sUtrAH Va-aniG_194c
   kumbhālāmbur ghaṭābhidhā VAnigh_258b	kumBAlAmbuH Gawa-aBiDA VAniG_258b
   kumbhikā jalakumbhikā VAnigh_313b	kumBikA jala-kumBikA VAniG_313b
   kuruvindo vṛṣākaraḥ VAnigh_339b	kuruvindaH vRzAkaraH VAniG_339b
   kulakaṃ ca paṭolakam VAnigh_64b	kulakam ca pawolakam VAniG_64b
   kulatthaḥ kālavṛttaś ca VAnigh_338c	kulatTaH kAla-vRttaH ca Va-aniG_338c
   kulahalaviṣamuṣṭī bhūstṛṇo bhūtaveśī VAnigh_129d	kulahala-vizamuzwI BUstRNaH BUtaveSI VAniG_129d
   kuliṅgaś caṭakāpi ca VAnigh_355d	kuliFgaH cawakA-api ca VAniG_355d
   kuliṅgākṣī ca yakṣadṛk VAnigh_275d	kuliFgAkzI ca yakza-dRS VAniG_275d
