   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   piśunā ca latā satī VAnigh_39d	piSunA ca latA satI VAniG_39d
   pītadārur haridrumaḥ VAnigh_230d	pItadAruH haridrumaH VAniG_230d
   pītalohaṃ ca saiṃhalam VAnigh_307b	pItaloham ca sEMhalam VAniG_307b
   pītasāro nikocakaḥ VAnigh_243d	pItasAraH nikocakaH VAniG_243d
   pītāmbaro 'cyutaḥ śārṅgī VAnigh_399a	pIta-ambaraH acyutaH SArFgI VAniG_399a
   pīlukas tāpasadrumaḥ VAnigh_128d	pIlukaH tApasadrumaH VAniG_128d
   pīluparṇī madhurasā VAnigh_65a	pIluparNI maDurasA VAniG_65a
   pīvarīndīvarī varī VAnigh_14b	pIvarI-indIvarI varI VAniG_14b
   puṇḍrāhvaṃ mūlasādhanam VAnigh_43d	puNxra-Ahvam mUla-sADanam VAniG_43d
   putradātrī vṛttapattrā VAnigh_284c	putra-dAtrI vRttapattrA VAniG_284c
   putrāñjaliḥ bhūtakeśī VAnigh_138c	putra-aQjaliH BUtakeSI VAniG_138c
   punarnavā varṣaketuḥ VAnigh_8c	punarnavA varzaketuH VAniG_8c
   punnāgaśītaṃ madanīyahetuḥ VAnigh_154d	punnAga-SItam madanIya-hetuH VAniG_154d
   purāṇī raktapuṣpikā VAnigh_160b	purANI raktapuzpikA VAniG_160b
   purā proktaṃ paruṣakam VAnigh_49b	purA proktam paruzakam VAniG_49b
   purā proktā tu sārivā VAnigh_24b	purA proktA tu sArivA VAniG_24b
   purohitā kuḍyamatsyā VAnigh_365a	purohitA kuxya-matsyAH VAniG_365a
   puṣpaketuś ca rītijam VAnigh_303b	puzpaketuH ca rItijam VAniG_303b
   puṣpako dohakāhvayaḥ VAnigh_244d	puzpakaH dohaka-AhvayaH VAniG_244d
   puṣpaṃ ca kusumaṃ smṛtam VAnigh_403d	puzpam ca kusumam smRtam VAniG_403d
   puṣpāñjanaṃ rītipuṣpaṃ VAnigh_303a	puzpAQjanam rItipuzpam Va-aniG_303a
   puṣpā mastakamañjarī VAnigh_111d	puzpA mastaka-maQjarI VAniG_111d
   puṣpo madhuraśigrukaḥ VAnigh_95b	puzpaH maDura-SigrukaH VAniG_95b
   puṃnāgaḥ puruṣāhvaś ca VAnigh_162a	puMnAgaH puruzAhvaH ca Va-aniG_162a
   pūtikarañjaḥ kaiḍaryaḥ VAnigh_74c	pUtikaraQjaH kExaryaH VAniG_74c
   pūtikā nityapuṣpikā VAnigh_277b	pUtikA nitya-puzpikA VAniG_277b
   pūtikāṣṭhaṃ devavṛkṣaḥ VAnigh_116c	pUtikAzWam devavRkzaH Va-aniG_116c
   pūtivāto mahāphalaḥ VAnigh_92d	pUtivAtaH mahA-PalaH VAniG_92d
   pūtiḥ pūtyaṇḍajaḥ smṛtaḥ VAnigh_299d	pUtiH pUtyaNxajaH smRtaH VAniG_299d
   pūrṇaś ca kṛṣṇatailakaḥ VAnigh_340d	pUrNaH ca kRzNa-tElakaH VAniG_340d
   pūrvam eva prakīrtitā VAnigh_167b	pUrvam eva prakIrtitA VAniG_167b
   pṛthvīkā vāripattrā tu VAnigh_267a	pRTvIkA vAripattrA tu Va-aniG_267a
   pṛthvī vasuṃdharākhyā ca VAnigh_380a	pRTvI vasuMDarA-AKyA ca Va-aniG_380a
   pṛthvīsambhavam audbhidam VAnigh_293d	pRTvI-samBavam OdBidam VAniG_293d
   pṛśniparṇī pṛthakparṇī VAnigh_17a	pRSniparNI pRTakparNI Va-aniG_17a
   paiṣṭakaṃ piṣṭasambhavam VAnigh_330d	pEzwakam pizwa-samBavam VAniG_330d
   prakīryaś cirabilvakaḥ VAnigh_74d	prakIryaH cirabilvakaH VAniG_74d
   pragrahaḥ kṛtamālakaḥ VAnigh_70d	pragrahaH kRtamAlakaH VAniG_70d
   pratiśyāyāruciśvāsa- VAnigh_130c	pratiSyAya-aruci-SvAsa VAniG_130c
   pratyakpuṣpī pītatailodakīryā VAnigh_121c	pratyakpuzpI pIta-tElA-udakIryA VAniG_121c
   pratyakpuṣpī mayūrakaḥ VAnigh_125d	pratyakpuzpI mayUrakaH VAniG_125d
   pradyotano dinamaṇiḥ VAnigh_383a	pradyotanaH dinamaNiH VAniG_383a
   prapunnāṭas tv eḍagajo VAnigh_253a	prapunnAwaH tu exagajaH Va-aniG_253a
   prapauṇḍarīkaṃ śrīpuṣpaṃ VAnigh_43c	prapONxarIkam SrIpuzpam Va-aniG_43c
   pravālaṃ vallijaṃ raktaṃ VAnigh_304c	pravAlam vallijam raktam Va-aniG_304c
   prasannā vāruṇī jñeyā VAnigh_328c	prasannA vAruNI jQeyAH VAniG_328c
   prasāraṇī suprasarā VAnigh_248a	prasAraNI su-prasarAH VAniG_248a
   prasūnaṃ sumanaḥ sūnaṃ VAnigh_403c	prasUnam sumanaH sUnam Va-aniG_403c
   prāgbāhur yugmajihvakaḥ VAnigh_365d	prAc-bAhuH yugmajihvakaH VAniG_365d
   prācīnā bodhakī kāntā VAnigh_136a	prAcInA boDakI kAntA VAniG_136a
   prācīnā vṛttaparṇikā VAnigh_35b	prAcInA vRttaparNikA VAniG_35b
   prāṇadā pūtanāmoghā VAnigh_50a	prANa-dA pUtanA-amoGAH VAniG_50a
   prāyaś cittaṃ samāhitam VAnigh_405d	prAyas cittam samAhitam VAniG_405d
   priyako bījako 'sanaḥ VAnigh_81b	priyakaH bIjakaH asanaH VAniG_81b
   priyaṅgupuṣpāñjanayugmapadmāḥ VAnigh_154a	priyaFgu-puzpa-aQjana-yugma-padmAH VAniG_154a
   priyaṅguḥ pītataṇḍulaḥ VAnigh_335d	priyaFguH pItataNxulaH VAniG_335d
   priyaṅguḥ samudāhṛtā VAnigh_157b	priyaFguH samudAhRtA VAniG_157b
   priyaṅgvādigaṇe pūrvaṃ VAnigh_157a	priyaFgvAdi-gaNe pUrvam Va-aniG_157a
   priyālas tu kharaskandhaś VAnigh_176a	priyAlaH tu Kara-skanDaH Va-aniG_176a
   prokto 'nyaḥ sthāṇukas tathā VAnigh_201d	proktaH anyaH sTANukaH taTA VAniG_201d
   plakṣaḥ kupippalaḥ plāvo VAnigh_173c	plakzaH kupippalaH plAvaH Va-aniG_173c
   plakṣaḥ syād guḍabījakaḥ VAnigh_275b	plakzaH syAt guxabIjakaH VAniG_275b
   plakṣāmravañjulapiyālapalāśanandī- VAnigh_169c	plakza-Amra-vaQjula-piyAla-palASa-nandI VAniG_169c
   plīhaghno raktapuṣpakaḥ VAnigh_212d	plIha-GnaH raktapuzpakaH VAniG_212d
   phaṇijihvāparṇy abhīruḥ VAnigh_14a	PaNi-jihvA-AparNI aBIruH VAniG_14a
   phaṇijjako mañjarīkas VAnigh_132a	PaNijjakaH maQjarIkaH Va-aniG_132a
   phaṇī khadiravally api VAnigh_218b	PaNI KadiravallI api VAniG_218b
   phalatrayaṃ tu triphalā VAnigh_341a	Palatrayam tu triPalA VAniG_341a
   phalaśreṇī varaḥ proktaḥ VAnigh_173a	Pala-SreNI varaH proktaH VAniG_173a
   phalasneho guḍāśrayaḥ VAnigh_249d	Pala-snehaH guxa-ASrayaH VAniG_249d
   phalaṃ dvīpamarīcaṃ ca VAnigh_301a	Palam dvIpa-marIcam ca Va-aniG_301a
   phalāṅkura iti smṛtaḥ VAnigh_216b	Pala-aFkuraH iti smRtaH VAniG_216b
   phalā cottamakanyakā VAnigh_112b	PalA ca-uttama-kanyakA VAniG_112b
   phalinī kolagirikā VAnigh_58a	PalinI kolagirikA VAniG_58a
   phenaṃ vāridhijaṃ malam VAnigh_303d	Penam vAriDi-jam malam VAniG_303d
   phenilo hastikarkoṭaḥ VAnigh_219a	PenilaH hasti-karkowaH VAniG_219a
   bakulaṃ madyakesaram VAnigh_317d	bakulam madyakesaram VAniG_317d
   bakulī talapoṭakaḥ VAnigh_244b	bakulI tala-powakaH VAniG_244b
   badarī kolasaṃjñakaḥ VAnigh_221b	badarI kola-saMjQakaH VAniG_221b
   badarīpattrakaṃ caiva VAnigh_187a	badarIpattrakam ca-eva Va-aniG_187a
   badarī yugmakaṇṭakaḥ VAnigh_176d	badarI yugmakaNwakaH VAniG_176d
   bandhūko bandhujīvaś ca VAnigh_278c	banDUkaH banDujIvaH ca Va-aniG_278c
   barhiśikhāhvayā guñjā VAnigh_224a	barhiSiKA-AhvayA guQjA VAniG_224a
   balipuṣṭaḥ sakṛtprajaḥ VAnigh_354b	bali-puzwaH sakRt-prajaH VAniG_354b
   balyā gandhāśvagandhikā VAnigh_220d	balyA ganDASvaganDikA VAniG_220d
   baṣkayaṇy ekahāyanī VAnigh_372d	bazkayaNI eka-hAyanI VAniG_372d
   bastakarṇo 'jakarṇakaḥ VAnigh_89b	bastakarNaH ajakarNakaH VAniG_89b
   bastamodā ca markaṭī VAnigh_40d	bastamodA ca markawI Va-aniG_40d
   bastāntrī meṣaśṛṅgī ca VAnigh_85a	bastAntrI mezaSRFgI ca Va-aniG_85a
   bastāntrī vṛṣagandhākhyā VAnigh_200c	bastAntrI vRzaganDA-AKyA Va-aniG_200c
   bastāntrī vyādhighāto bahalabahurasas tīkṣṇavṛkṣāt phalāni VAnigh_191c	bastAntrI vyADiGAtaH bahala-bahurasaH tIkzNa-vRkzAt PalAni VAniG_191c
   bahalapallavadarbharujākarāḥ VAnigh_90d	bahala-pallava-darBa-rujA-karAH VAniG_90d
   bahiṣṭhaṃ tagaraṃ vakraṃ VAnigh_185c	bahizWam tagaram vakram Va-aniG_185c
   bahumūlaṃ raṇapriyā VAnigh_25b	bahu-mUlam raNa-priyA VAniG_25b
   bahulā truṭisaṃjñakā VAnigh_62b	bahulA truwi-saMjQakAH VAniG_62b
   bahuskandhā mṛtyuphalā VAnigh_282a	bahuskanDA mRtyu-PalA VAniG_282a
   bāṇaḥ smṛto nīlapuṣpaḥ VAnigh_74a	bANaH smRtaH nIlapuzpaH VAniG_74a
   bālagranthiḥ prakīrtitā VAnigh_252b	bAlagranTiH prakIrtitA VAniG_252b
   bāleyaṃ harivālukam VAnigh_119d	bAlA-iyam harivAlukam VAniG_119d
   bāleyo rāsabho jñeyo VAnigh_345a	bAleyaH rAsaBaH jQeyaH VAniG_345a
   bāṣpikā kavarī smṛtā VAnigh_248d	bAzpikA kavarI smRtAH VAniG_248d
   bāṣpikā ca sthalodbhavā VAnigh_267b	bAzpikA ca sTala-udBavA VAniG_267b
   bimbī go hā tuṇḍikerī VAnigh_256a	bimbI go hA tuNxikerI VAniG_256a
   bisaprasūnarājīva- VAnigh_60a	bisa-prasUna-rAjI-iva Va-aniG_60a
   bisaprasūnarājīva- VAnigh_314c	bisa-prasUna-rAjI-iva Va-aniG_314c
   bukaś ceśvaramallikā VAnigh_105d	bukaH ca-ISvara-mallikA VAniG_105d
   bṛhacchadas tathā śāko VAnigh_55c	bRhacCadaH taTA SAkaH Va-aniG_55c
   bṛhatī bahuputrikā VAnigh_19d	bRhatI bahuputrikA VAniG_19d
   bṛhatphalā rājajambūḥ VAnigh_172c	bRhatPalA rAja-jambUH VAniG_172c
   bṛhadvally utpalacchadā VAnigh_77b	bRhadvallI utpalacCadA VAniG_77b
   bṛṃhaṇo vātapittahā VAnigh_3b	bRMhaNaH vAta-pitta-hA VAniG_3b
   bodhakī ca kucelikā VAnigh_35d	boDakI ca kucelikA VAniG_35d
   bradhnaḥ prabhākaro bhāsvān VAnigh_384a	braDnaH praBAkaraH BAsvAn VAniG_384a
   brahmanāmā tu kīrtitā VAnigh_196d	brahma-nAmA tu kIrtitAH VAniG_196d
   brahmāmbu gombu gomūtraṃ VAnigh_332c	brahma-ambu gombu go-mUtram Va-aniG_332c
   bhaṅgurātiviṣā mādrī VAnigh_146a	BaFgurA-ativizA mAdrI Va-aniG_146a
   bhaṇḍī śukadruḥ plavaṃgaḥ VAnigh_84a	BaNxI SukadruH plavaMgaH Va-aniG_84a
   bhadravṛkṣaś ca kīrtitaḥ VAnigh_53b	BadravRkzaH ca kIrtitaH VAniG_53b
   bhadraśriyaṃ malayajaṃ VAnigh_28a	BadraSriyam malayajam Va-aniG_28a
   bhadrailā bṛhadelā tu VAnigh_181c	BadrElA bRhadelA tu Va-aniG_181c
   bhadrodumbaravāyasī VAnigh_217d	BadrA-udumbara-vAyasI VAniG_217d
   bharadvājo dvijo brāhmo VAnigh_356c	BaradvAjaH dvijaH brAhmaH Va-aniG_356c
   bhallātakam aruṣkaram VAnigh_168b	BallAtakam aruzkaram VAniG_168b
   bhallātapāṭhātriphalīviṣākhyāḥ VAnigh_166b	BallAta-pAWA-triPalI-viza-AKyAH VAniG_166b
   bhallūkamoraṭakuraṇṭakarambhapārthāḥ VAnigh_103d	BallUka-morawa-kuraNwa-ka-ramBa-pArTAH VAniG_103d
   bhallūko bhūtavṛkṣaś ca VAnigh_110c	BallUkaH BUtavRkzaH ca Va-aniG_110c
   bhavaṃ romaphalaṃ matam VAnigh_273b	Bavam roma-Palam matam VAniG_273b
   bhavyaṃ bhaviṣyaṃ cāmlaṃ ca VAnigh_273a	Bavyam Bavizyam ca-amlam ca Va-aniG_273a
   bhāṇṭākī duṣpradharṣiṇī VAnigh_20b	BANwAkI duzpraDarziNI VAniG_20b
   bhāradvājī suparṇikā VAnigh_207d	BAradvAjI suparNikAH VAniG_207d
   bhārṅgī gardabhaśākaṃ ca VAnigh_41c	BArFgI gardaBa-SAkam ca Va-aniG_41c
   bhārṅgī phañjī ca pālindī VAnigh_125a	BArFgI PaQjI ca pAlindI Va-aniG_125a
   bhārṅgī rāsnā vṛścikālī prakīryā VAnigh_121b	BArFgI rAsnA vRScikAlI prakIryA VAniG_121b
   bhikṣuḥ śravaṇaśīrṣakā VAnigh_264b	BikzuH SravaNa-SIrzakAH VAniG_264b
   bhiṣag vaidyaś cikitsakaḥ VAnigh_406b	Bizaj vEdyaH cikitsakaH VAniG_406b
   bhujaṃgo 'hir bhujaṃgamaḥ VAnigh_360b	BujaMgaH ahiH BujaMgamaH VAniG_360b
   bhūtaghnaṃ vastihiṃsakaḥ VAnigh_36b	BUta-Gnam vasti-hiMsakaH VAniG_36b
   bhūtāveśī bhūtakeśī VAnigh_139a	BUtAveSI BUtakeSI VAniG_139a
   bhūteśaḥ khaṇḍaparaśur VAnigh_392c	BUteSaH KaNxaparaSuH Va-aniG_392c
   bhūdhātrī tāmalaky api VAnigh_208d	BUDAtrI tAmalakI api VA-niG_208d
   bhūnāgo varṣajālakaḥ VAnigh_367b	BUnAgaH varza-jAlakaH VAniG_367b
   bhūnimbasairyakapaṭolakarañjayugma- VAnigh_68c	BUnimba-sEryaka-pawola-karaQja-yugma VAniG_68c
   bhūrjo bhurjo bahupuṭo VAnigh_82a	BUrjaH BurjaH bahu-puwaH VA-aniG_82a
   bhūśāko bhūmikandakaḥ VAnigh_265b	BUSAkaH BUmikandakaH VAniG_265b
   bhūṣaṇaṃ nāgasambhavam VAnigh_292d	BUzaNam nAgasamBavam VAniG_292d
   bhūstṛṇo guhyabījakaḥ VAnigh_138d	BUstRNaH guhyabIjakaH VAniG_138d
   bhṛṅgarāḍ bhṛṅgareṇukaḥ VAnigh_235b	BRFgarAj BRFgareNukaH VAniG_235b
   bhṛṅgārī cīrukā cīrī VAnigh_370a	BRFgArI cIrukA cIrI Va-aniG_370a
   bhṛṅgāhvo mārkavaḥ smṛtaḥ VAnigh_234d	BRFgAhvaH mArkavaH smRtaH VAniG_234d
   bhṛṅgeṣṭā kokilapriyā VAnigh_174d	BRFgezwA kokilapriyA VAniG_174d
   makarandaḥ puṣparasaḥ VAnigh_404c	makarandaH puzparasaH VAniG_404c
   makuṣṭho vanamudgaś ca VAnigh_337c	makuzWaH vanamudgaH ca Va-aniG_337c
   mañjiṣṭhā vijayā raktā VAnigh_158c	maQjizWA vijayA raktA VAniG_158c
   mañjukā raktayaṣṭī ca VAnigh_159a	maQjukA raktayazwI ca Va-aniG_159a
   maṇikā cekṣupuṅkhikā VAnigh_284b	maNikA ca-ikzupuFKikA VAniG_284b
   maṇḍalī tantrikā smṛtā VAnigh_46b	maNxalI tantrikA smRtA VAniG_46b
   maṇḍūkaparṇī vikrāntā VAnigh_246c	maNxUkaparNI vikrAntAH Va-aniG_246c
   maṇḍūko darduro bhekaḥ VAnigh_359c	maNxUkaH darduraH BekaH VAniG_359c
   matsyākṣikas tu matsīraḥ VAnigh_263a	matsyAkzikaH tu matsIraH VAniG_263a
   madavīryā madapriyā VAnigh_163d	mada-vIryAH mada-priyA VAniG_163d
   madahetuḥ sindhupuṣpī VAnigh_163a	mada-hetuH sinDupuzpI Va-aniG_163a
   madhukaṃ klītakāhvayam VAnigh_29b	maDukam klItaka-Ahvayam VAniG_29b
   madhuparṇī kekiśikhā VAnigh_164c	maDuparNI keki-SiKA VAniG_164c
   madhuparṇī vayaḥsthā ca VAnigh_46a	maDuparNI vayaHsTA ca Va-aniG_46a
   madhu puṣparasodbhavam VAnigh_327b	maDu puzparasa-udBavam VAniG_327b
   madhupuṣpo lodhrapuṣpo VAnigh_26c	maDupuzpaH loDrapuzpaH VAniG_26c
   madhuyuto madhukaro VAnigh_367c	maDu-yutaH maDukaraH Va-aniG_367c
   madhuliṭ madhupastathā VAnigh_367d	maDulih maDupaH-taTA VAniG_367d
   madhusravaguḍūcīpāṭhānvitam VAnigh_63b	maDusrava-guxUcI-pAWA-anvitam VAniG_63b
   madhusravā pīlupattrā VAnigh_65c	maDu-sravA pIlupattrA VAniG_65c
   madhūkaśiśiradvayam VAnigh_23b	maDUka-SiSira-dvayam VAniG_23b
   madhūko guḍapuṣpakaḥ VAnigh_26b	maDUkaH guxapuzpakaH VAniG_26b
   madhūko vārisaṃsthitaḥ VAnigh_27b	maDUkaH vAri-saMsTitaH VAniG_27b
   madhūcchiṣṭaṃ ca madanaṃ VAnigh_327c	maDUcCizwam ca madanam Va-aniG_327c
   manaḥśilā manoguptā VAnigh_288c	manaHSilA manaH-guptA VAniG_288c
   manohvā kunaṭī śilā VAnigh_288d	manohvA kunawI SilA VAniG_288d
   mandarotthaṃ śilājatu VAnigh_102b	mandara-utTam SilAjatu VAniG_102b
   mandāgnitvaṃ niyacchati VAnigh_91b	manda-agni-tvam niyacCati VAniG_91b
   mandāraḥ pāribhadrāhvo VAnigh_212a	mandAraH pAriBadrAhvaH Va-aniG_212a
   mandāraḥ śvetakusumo VAnigh_123c	mandAraH SvetakusumaH VAniG_123c
   mayūragrīvikaṃ tu syāt VAnigh_291a	mayUragrIvikam tu syAt VAniG_291a
   mayūrāhvā śikhī tathā VAnigh_164d	mayUrAhvA SiKI taTA VAniG_164d
   mayūro barhiṇo barhī VAnigh_352c	mayUraH barhiNaH barhI Va-aniG_352c
   maricaṃ tīkṣṇam ūṣaṇam VAnigh_39b	maricam tIkzNam UzaNam VAniG_39b
   marutprāṇaḥ prabhañjanaḥ VAnigh_377b	marut-prANaH praBaQjanaH VAniG_377b
   maruvaḥ kharapattrakaḥ VAnigh_133d	maruvaH KarapattrakaH VAniG_133d
   markaṭī cātmaguptā ca VAnigh_13a	markawI ca-AtmaguptA ca Va-aniG_13a
   markaṭo vānaraḥ kīśaḥ VAnigh_350c	markawaH vAnaraH kISaH Va-aniG_350c
   malayūḥ vākucī caiva VAnigh_229c	malayUH vAkucI ca-eva Va-aniG_229c
   mallikoktā vicakilā VAnigh_320c	mallikA-uktA vicakilA Va-aniG_320c
   masūravidalā śyāmā VAnigh_192a	masUra-vidalA SyAmA VAniG_192a
   masūraḥ pittabheṣajam VAnigh_337d	masUraH pitta-Bezajam VAniG_337d
   mahākadambo niculo VAnigh_211a	mahAkadambaH niculaH Va-aniG_211a
   mahākālyajaśṛṅgī ca VAnigh_93c	mahAkAlI-ajaSRFgI ca Va-aniG_93c
   mahākṣī tanvikā matā VAnigh_18d	mahAkzI tanvikA matA VAniG_18d
   mahāṅgaḥ kālamūlakaḥ VAnigh_76d	mahAFgaH kAlamUlakaH VAniG_76d
   mahājālī vibhāṇḍikā VAnigh_247d	mahAjAlI viBANxikA VAniG_247d
   mahānīlā pratānikā VAnigh_286b	mahAnIlA pratAnikA VAniG_286b
   mahāpuruṣadantikā VAnigh_47b	mahApuruza-dantikA VAniG_47b
   mahāphalekṣurā caiva VAnigh_259c	mahAPala-ikzurA ca-eva Va-aniG_259c
   mahābalā varṣapuṣpī VAnigh_207a	mahAbalA varzapuzpI VAniG_207a
   mahāmedā vṛkṣaruhā VAnigh_47a	mahAmedA vRkzaruhAH VAniG_47a
   mahārambhā gajapriyā VAnigh_120d	mahA-AramBAH gajapriyA VAniG_120d
   mahāvṛkṣo mahānīlo VAnigh_234c	mahAvRkzaH mahAnIlaH VAniG_234c
   mahāvṛddhiḥ parocyate VAnigh_44b	mahAvRdDiH para-ucyate VAniG_44b
   mahāśākaś ca vāstukī VAnigh_263d	mahASAkaH ca vAstukI VAniG_263d
   mahiṣākṣo niśācārī VAnigh_189c	mahizAkzaH niSAcArI Va-aniG_189c
   mākṣikaṃ sāraghaṃ kṣaudraṃ VAnigh_327a	mAkzikam sAraGam kzOdram Va-aniG_327a
   mākṣikaṃ haimamākṣikam VAnigh_295d	mAkzikam hEmamAkzikam VAniG_295d
   mātaṃgo dvirado dvipaḥ VAnigh_343d	mAtaMgaH dviradaH dvipaH VAniG_343d
   mātuluṅgo bījapūro VAnigh_271c	mAtuluFgaH bIjapUraH Va-aniG_271c
   mādhavaś ca surāṣṭrajaḥ VAnigh_337b	mADavaH ca surAzwrajaH VAniG_337b
   mādhavī syād amuktaś ca VAnigh_136c	mADavI syAt amuktaH ca Va-aniG_136c
   mādhvīkaṃ madhunā kṛtam VAnigh_329d	mADvIkam maDunA kRtam VAniG_329d
   mānadrumo mocarasaḥ samaṅgā VAnigh_154c	mAnadrumaH mocarasaH samaFgA VAniG_154c
   māyasaṃ ca śilodbhavam VAnigh_309b	mAyasam ca SilodBavam VAniG_309b
   māyuḥ pittaṃ vahnikāntaṃ VAnigh_378a	mAyuH pittam vahnikAntam VAniG_378a
   mārtaṇḍaś ca vikartanaḥ VAnigh_384d	mArtaNxaH ca vikartanaH VAniG_384d
   mārdvīkaṃ madhu vijñeyaṃ VAnigh_329c	mArdvIkam maDu vijQeyam Va-aniG_329c
   mālatīrasasambhavaḥ VAnigh_295b	mAlatIrasa-samBavaH VAniG_295b
   mālatī sumanā jātī VAnigh_320a	mAlatI sumanAH jAtI VAniG_320a
   mālavī triśirā pāṭhā VAnigh_35a	mAlavI triSirA pAWA Va-aniG_35a
   mālūraḥ śrīphalaḥ śaivaḥ VAnigh_93a	mAlUraH SrIPalaH SEvaH Va-aniG_93a
   māṣaparṇī mahāsahā VAnigh_12d	mAzaparNI mahAsahA VAniG_12d
   māṣastu picchilarasaḥ VAnigh_339a	mAzaH-tu picCila-rasaH VAniG_339a
   miśiḥ ghoṣā śatāhvayā VAnigh_266b	miSiH GozA SatAhvayA VAniG_266b
   miśreyā śālinī śīta- VAnigh_266c	miSreyA SAlinI SIta Va-aniG_266c
   mihiraṃ harināmakam VAnigh_306d	mihiram hari-nAmakam VAniG_306d
   mīno matsyo 'ṇḍajaś caiva VAnigh_359a	mInaH matsyaH aNxajaH ca-eva Va-aniG_359a
   mukulaṃ korakaṃ smṛtam VAnigh_402d	mukulam korakam smRtam VAniG_402d
   mudgaparṇī sahā sūpya- VAnigh_11c	mudgaparNI sahA sUpya Va-aniG_11c
   muraṅgī śigruko rakta- VAnigh_95a	muraFgI SigrukaH rakta Va-aniG_95a
   muṣkakasnugvarādvīpi- VAnigh_140a	muzkaka-snuh-varAdvIpi Va-aniG_140a
   muṣkakādau tu śikharī VAnigh_141a	muzkaka-AdO tu SiKarI VAniG_141a
   muṣkako mokṣakas tathā VAnigh_141b	muzkakaH mokzakaH taTA VAniG_141b
   mustā tu jaladāhvayā VAnigh_151b	mustA tu jalada-AhvayA VAniG_151b
   mustādike gaṇe mustā VAnigh_167a	mustA-Adike gaNe mustA Va-aniG_167a
   mustāvacāgnidviniśādvitiktā- VAnigh_166a	mustA-vacA-agni-dvi-niSA-t-vi-tiktA VAniG_166a
   mūtralaṃ trapusaṃ smṛtam VAnigh_257b	mUtralam trapusam smRtam VAniG_257b
   mūtravṛddhikaraḥ smṛtaḥ VAnigh_99d	mUtra-vRdDi-karaH smRtaH VAniG_99d
   mūrvā cātirasā smṛtā VAnigh_65b	mUrvA ca-ati-rasA smRtA VAniG_65b
   mūlaṃ śālūkakandakam VAnigh_316b	mUlam SAlUka-kandakam VAniG_316b
   mūlaṃ śālūkakandakau VAnigh_401b	mUlam SAlUka-kandakO VAniG_401b
   mūṣikāriś citraphalaḥ VAnigh_268c	mUzikAriH citraPalaH VAniG_268c
   mṛganābhir mṛgamadaḥ VAnigh_298a	mRganABiH mRgamadaH VAniG_298a
   mṛgasvedo mṛgajalaṃ VAnigh_299c	mRga-svedaH mRga-jalam Va-aniG_299c
   mṛge kuraṅgavātāyu- VAnigh_347c	mRge kuraFga-vAta-Ayu Va-aniG_347c
   mṛtamandātiparṇikā VAnigh_22d	mRta-manda-atiparNikA VAniG_22d
   mṛtyuṃjayaḥ kṛttivāsāḥ VAnigh_393a	mRtyuMjayaH kRttivAsAH VAniG_393a
   mṛtsā mṛtsnā ca mṛttikā VAnigh_378d	mRtsA mRtsnA ca mRttikA VAniG_378d
   mṛdukāntiḥ mahāśvetā VAnigh_286c	mRdu-kAntiH mahA-SvetAH VAniG_286c
   mṛdutvak cāsthiracchadaḥ VAnigh_82b	mRdu-tvac ca-asTiracCadaH VAniG_82b
   mṛdupuṣpo 'tha suṣiro VAnigh_109c	mRdupuzpaH aTa suziraH Va-aniG_109c
   mṛdulohaṃ tīkṣṇalohaṃ VAnigh_311a	mRdu-loham tIkzNaloham Va-aniG_311a
   mṛdvīkā tūttamaphalā VAnigh_52c	mRdvIkA tu-uttama-PalAH Va-aniG_52c
   meghavṛttistu cātakaḥ VAnigh_357b	meGa-vRttiH-tu cAtakaH VAniG_357b
   medaḥkaphaharo gaṇaḥ VAnigh_114b	medaH-kaPa-haraH gaNaH VAniG_114b
   medaḥkaphāḍhyapavana- VAnigh_150c	medaH-kaPa-AXya-pavana VAniG_150c
   medaḥkṛminiṣūdanaḥ VAnigh_130b	medaH-kRmi-nizUdanaH VAniG_130b
   medaḥpittāsratṛḍdāha- VAnigh_170c	medaH-pittAsra-tRz-dAha VAniG_170c
   medaḥsambhavam asthi syād VAnigh_375a	medaH-samBavam asTi syAt VAniG_375a
   medā medaḥsamudbhavā VAnigh_46d	medA medaH-samudBavAH VAniG_46d
   medodoṣanibarhaṇaḥ VAnigh_80d	medaH-doza-nibarhaNaH VAniG_80d
   medo 'rśaḥkaphaśukrajit VAnigh_140d	medaH arSaH-kaPa-Sukra-jit VAniG_140d
   medhyaṃ syād auttarāpatham VAnigh_33d	meDyam syAt OttarApaTam VAniG_33d
   meṣāntrī vṛṣapattrikā VAnigh_200d	mezAntrI vRzapattrikA VAniG_200d
   maireyo hy āsavo madaḥ VAnigh_329b	mEreyaH hi AsavaH madaH VAniG_329b
   mocakī guḍamañjarī VAnigh_116b	mocakI guxamaQjarI VAniG_116b
   mocaṃ tu kadalīphalam VAnigh_269d	mocam tu kadalI-Palam VAniG_269d
   moraṭī kṣīramoraṭam VAnigh_65d	morawI kzIra-morawam VAniG_65d
   mohinī vaṭapattrikā VAnigh_218d	mohinI vawapattrikA VAniG_218d
   -mlāyanī vanamālikā (?) VAnigh_318d	-mlAyanI vanamAlikA (?) VAniG_318d
   yavatiktā kiśorikā VAnigh_195b	yavatiktA kiSorikA VAniG_195b
   yavaś ca sthūlamadhyaś ca VAnigh_333c	yavaH ca sTUla-maDyaH ca Va-aniG_333c
   yavānī jaraṇāhvayā VAnigh_147d	yavAnI jaraNa-AhvayA VAniG_147d
