   1.03.059 prati=āṄbhyām śruvaḥ	1.03.059 prati=AṄByAm SruvaH
   1.03.060 śadeḥ Ś-IT-aḥ	1.03.060 SadeH Ś-IT-aH
   1.03.061 mriyater lUṄ-lIṄoś ca	1.03.061 mriyateH lUṄ-lIṄoH ca
   1.03.062 pūrvavat saNaḥ	1.03.062 pUrvavat saNaH
   1.03.063 ām-pratyayavat kṛÑaḥ=anuprayogasya	1.03.063 Am--pratyaya-vat kRÑaH=anuprayogasya
   1.03.064 pra=upābhyāṃ yujer a-yajña-pātreṣu	1.03.064 pra=upAByAm yujeH a-yajQa--pAtrezu
   1.03.065 samaḥ kṣṇuvaḥ	1.03.065 samaH kzNuvaH
   1.03.066 bhujaḥ=an-avane	1.03.066 BujaH=an-a-vane
   1.03.067 Ṇer aṆau yat karma Ṇau cet sa kartā anādhyāne	1.03.067 ṆeH aṆO yat karma ṆO ced sa kartA anADyAne
   1.03.068 bhī-smyor hetu-bhaye	1.03.068 BI-smyoH hetu--Baye
   1.03.069 gṛdhi-vancyoh pralambhane	1.03.069 gRDi-vat-cyoh pralamBane
   1.03.070 liyaḥ sam-mānana-śālinī-karaṇayoś ca	1.03.070 liyaH sam-mAnana--SAli-nI-karaNayoH ca
   1.03.071 mithyopapadāt kṛÑaḥ=abhyāse	1.03.071 miTyA-upapadAt kRÑaH=aByAse
   1.03.072 svarita-Ñ-ITaḥ kartr=abhiprāye kriyā-phale	1.03.072 svarita--Ñ-ITaH kartR-=aBiprAye kriyA--Pale
   1.03.073 apād vadaḥ	1.03.073 apAt vadaH
   1.03.074 ṆiCaś ca	1.03.074 ṆiCaH ca
   1.03.075 sam-ud=āṄbhyah=amaḥ=a-granthe	1.03.075 sam-ud=A-aṄBya-h=am-aH=a-granTe
   1.03.076 an-upasargāt=jñaḥ	1.03.076 an-upasarga-at=jQaH
   1.03.077 vibhāṣā=upapadena pratīyamāne	1.03.077 viBAzA-=upapadena pratIyamAne
   1.03.078 śeṣāt kartari parasmaipadam	1.03.078 SezAt kartari parasmEpadam
